t # 8627
e 30 31 3
e 30 32 2
e 30 41 2
e 32 33 2
e 32 185 2
e 33 182 2
e 33 183 2
e 34 35 3
e 34 36 2
e 34 40 2
e 36 178 2
e 36 41 2
e 37 38 3
e 37 39 2
e 37 69 2
e 39 106 2
e 39 40 2
e 42 103 2
e 44 45 2
e 44 69 2
e 45 46 3
e 45 47 2
e 47 48 2
e 47 111 2
e 48 49 2
e 48 113 2
e 49 50 3
e 49 64 2
e 51 52 3
e 51 53 2
e 51 65 2
e 53 64 2
e 54 55 3
e 54 66 2
e 54 114 2
e 56 57 3
e 56 58 2
e 56 67 2
e 58 59 2
e 58 66 2
e 60 61 3
e 60 62 2
e 60 131 2
e 62 63 2
e 62 67 2
e 63 122 2
e 65 114 2
e 70 73 2
e 70 209 2
e 71 72 2
e 71 76 2
e 71 77 2
e 72 201 2
e 72 73 2
e 73 74 2
e 74 75 2
e 75 78 2
e 75 76 2
e 76 79 2
e 78 80 2
e 82 91 3
e 82 92 2
e 82 199 2
e 83 86 2
e 83 84 2
e 85 87 2
e 85 86 2
e 88 90 2
e 88 89 2
e 90 199 2
e 96 97 2
e 97 98 3
e 97 99 2
e 104 108 2
e 104 109 3
e 104 110 2
e 105 107 2
e 105 106 2
e 107 108 2
e 111 112 2
e 112 113 2
e 114 117 2
e 115 119 2
e 115 120 3
e 115 121 2
e 116 118 2
e 116 117 2
e 118 119 2
e 122 123 5
e 122 127 5
e 123 124 5
e 124 125 5
e 125 126 5
e 126 127 5
e 128 129 3
e 128 160 2
e 128 166 2
e 130 132 2
e 130 133 2
e 130 160 2
e 131 160 2
e 134 135 2
e 134 137 2
e 134 138 2
e 135 136 2
e 135 166 2
e 136 149 3
e 136 154 2
e 138 141 2
e 139 140 2
e 139 144 2
e 139 145 2
e 140 205 2
e 140 141 2
e 141 142 2
e 142 143 2
e 143 146 2
e 143 144 2
e 144 147 2
e 146 148 2
e 150 151 3
e 150 152 2
e 150 197 2
e 152 153 2
e 152 154 2
e 153 155 2
e 153 156 2
e 155 157 2
e 158 159 3
e 158 172 2
e 158 195 2
e 161 162 2
e 161 164 2
e 162 195 2
e 163 165 2
e 163 164 2
e 167 168 3
e 167 169 2
e 167 171 2
e 169 170 2
e 169 172 2
e 170 173 2
e 170 174 2
e 171 176 2
e 173 175 2
e 176 211 2
e 177 179 2
e 177 178 2
e 179 180 3
e 179 181 2
e 183 184 2
e 186 190 2
e 186 191 3
e 186 192 2
e 187 189 2
e 187 188 2
e 189 190 2
e 193 194 2
e 193 196 3
e 193 198 2
e 194 197 2
e 195 198 2
e 201 202 2
e 202 203 3
e 202 204 2
e 205 206 2
e 206 207 3
e 206 208 2
e 211 212 2
e 212 213 4

t # 1
v 0 2
v 1 2
v 2 2
v 3 2
v 4 2
v 5 3
e 0 1 2
e 1 3 2
e 2 4 3
e 2 5 3
e 3 2 2
e 3 4 3
t # -1
